19:21:6 => [INFO]用户1001登录成功, Ip: 127.0.0.1, Port: 1234
19:21:6 => [ERROR]用户1001登录成功, Ip: 127.0.0.1, Port: 1234
19:21:6 => [DEBUG]用户1001登录成功, Ip: 127.0.0.1, Port: 1234
19:21:6 => [FATAL]用户1001登录成功, Ip: 127.0.0.1, Port: 1234
19:21:40 => [INFO]用户1001登录成功, Ip: 127.0.0.1, Port: 1234
19:21:40 => [ERROR]用户1001登录成功, Ip: 127.0.0.1, Port: 1234
19:21:40 => [DEBUG]用户1001登录成功, Ip: 127.0.0.1, Port: 1234
19:21:40 => [FATAL]用户1001登录成功, Ip: 127.0.0.1, Port: 1234
19:22: 8 => [INFO]用户1001登录成功, Ip: 127.0.0.1, Port: 1234
19:22: 8 => [ERROR]用户1001登录成功, Ip: 127.0.0.1, Port: 1234
19:22: 8 => [DEBUG]用户1001登录成功, Ip: 127.0.0.1, Port: 1234
19:22: 8 => [FATAL]用户1001登录成功, Ip: 127.0.0.1, Port: 1234
